local_time,flow_timestamp,src_ip,dst_ip,dst_port,protocol,prediction
16:53:26,2026-04-19 16:49:22,192.168.100.119,192.168.100.1,53,17,NORMAL
16:53:26,2026-04-19 16:51:47,34.120.52.64,192.168.100.119,53331,6,NORMAL
16:53:26,2026-04-19 16:51:43,192.168.100.119,40.127.158.108,443,6,NORMAL
16:53:29,2026-04-19 16:48:26,192.168.100.119,3.232.115.183,443,6,NORMAL
16:53:29,2026-04-19 16:48:26,192.168.100.119,3.218.123.7,443,6,NORMAL
16:53:29,2026-04-19 16:51:55,192.168.100.119,40.127.158.108,443,6,NORMAL
16:53:29,2026-04-19 16:49:26,192.168.100.119,140.82.113.21,443,6,NORMAL
16:53:41,2026-04-19 16:51:38,192.168.100.1,239.255.255.250,1900,17,NORMAL
16:53:44,2026-04-19 16:49:11,192.168.100.119,140.82.121.6,443,6,NORMAL
16:53:53,2026-04-19 16:49:51,192.168.100.119,192.168.100.1,53,17,NORMAL
16:53:53,2026-04-19 16:49:51,192.168.100.119,192.168.100.1,53,17,NORMAL
16:53:53,2026-04-19 16:49:51,192.168.100.119,192.168.100.1,53,17,NORMAL
16:53:53,2026-04-19 16:52:12,192.168.100.132,224.0.0.251,5353,17,NORMAL
16:53:53,2026-04-19 16:52:09,192.168.100.129,224.0.0.251,5353,17,NORMAL
16:53:56,2026-04-19 16:49:49,192.168.100.119,239.255.255.250,1900,17,NORMAL
16:53:56,2026-04-19 16:52:24,192.168.100.119,44.220.98.184,443,6,NORMAL
16:53:59,2026-04-19 16:49:55,192.168.100.119,192.168.100.1,53,17,NORMAL
16:53:59,2026-04-19 16:49:55,192.168.100.119,192.168.100.1,53,17,NORMAL
16:53:59,2026-04-19 16:49:55,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:02,2026-04-19 16:52:28,52.168.112.66,192.168.100.119,51839,6,NORMAL
16:54:02,2026-04-19 16:49:59,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:02,2026-04-19 16:49:59,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:02,2026-04-19 16:49:59,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:02,2026-04-19 16:51:14,192.168.100.119,35.171.120.67,443,6,NORMAL
16:54:05,2026-04-19 16:50:01,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:05,2026-04-19 16:50:01,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:05,2026-04-19 16:50:01,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:05,2026-04-19 16:50:01,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:05,2026-04-19 16:50:01,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:05,2026-04-19 16:50:01,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:05,2026-04-19 16:50:01,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:05,2026-04-19 16:50:01,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:05,2026-04-19 16:50:01,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:08,2026-04-19 16:51:57,192.168.100.119,18.97.36.64,443,6,NORMAL
16:54:20,2026-04-19 16:50:03,192.168.100.119,192.168.1.134,7680,6,NORMAL
16:54:20,2026-04-19 16:50:12,192.168.100.119,20.189.173.7,443,6,NORMAL
16:54:26,2026-04-19 16:49:23,192.168.100.119,50.17.12.171,443,6,NORMAL
16:54:26,2026-04-19 16:50:24,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:26,2026-04-19 16:50:24,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:26,2026-04-19 16:50:24,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:26,2026-04-19 16:52:54,192.168.100.119,13.216.96.160,443,6,NORMAL
16:54:29,2026-04-19 16:52:55,192.168.100.119,13.216.96.160,443,6,NORMAL
16:54:29,2026-04-19 16:52:57,192.168.100.119,13.216.96.160,443,6,NORMAL
16:54:29,2026-04-19 16:50:27,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:29,2026-04-19 16:50:27,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:29,2026-04-19 16:50:27,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:32,2026-04-19 16:50:30,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:32,2026-04-19 16:50:30,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:32,2026-04-19 16:50:30,192.168.100.119,192.168.100.1,53,17,NORMAL
16:54:56,2026-04-19 16:53:23,192.168.100.119,143.204.11.126,443,6,NORMAL
16:55:02,2026-04-19 16:50:43,192.168.100.119,192.168.1.134,7680,6,NORMAL
16:55:17,2026-04-19 16:50:24,192.168.100.119,86.105.198.10,80,6,NORMAL
16:55:17,2026-04-19 16:53:16,34.206.207.172,192.168.100.119,51942,6,NORMAL
16:55:17,2026-04-19 16:53:28,34.120.52.64,192.168.100.119,53331,6,NORMAL
16:55:17,2026-04-19 16:53:36,192.168.100.119,40.127.158.108,443,6,NORMAL
16:55:20,2026-04-19 16:51:12,20.250.119.64,192.168.100.119,52016,6,NORMAL
16:55:26,2026-04-19 16:53:55,44.220.98.184,192.168.100.119,51833,6,NORMAL
16:55:38,2026-04-19 16:51:36,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:38,2026-04-19 16:51:36,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:38,2026-04-19 16:51:36,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:38,2026-04-19 16:51:36,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:38,2026-04-19 16:51:36,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:38,2026-04-19 16:51:36,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:38,2026-04-19 16:50:36,192.168.100.119,98.95.120.69,443,6,NORMAL
16:55:38,2026-04-19 16:54:06,18.97.36.64,192.168.100.119,53324,6,NORMAL
16:55:41,2026-04-19 16:51:24,192.168.100.119,192.168.1.134,7680,6,NORMAL
16:55:41,2026-04-19 16:54:04,192.168.100.119,52.168.112.66,443,6,NORMAL
16:55:44,2026-04-19 16:53:40,192.168.100.1,239.255.255.250,1900,17,NORMAL
16:55:44,2026-04-19 16:51:43,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:51:43,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:51:43,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:51:43,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:51:43,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:51:43,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:51:43,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:51:43,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:51:43,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:51:44,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:51:44,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:51:44,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:51:44,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:51:44,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:51:44,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:44,2026-04-19 16:53:52,192.168.100.132,224.0.0.251,5353,17,NORMAL
16:55:47,2026-04-19 16:51:44,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:47,2026-04-19 16:51:44,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:47,2026-04-19 16:51:44,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:47,2026-04-19 16:51:45,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:47,2026-04-19 16:51:45,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:47,2026-04-19 16:51:45,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:47,2026-04-19 16:51:45,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:47,2026-04-19 16:51:45,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:47,2026-04-19 16:51:45,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:50,2026-04-19 16:51:49,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:50,2026-04-19 16:51:49,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:50,2026-04-19 16:51:49,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:50,2026-04-19 16:51:49,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:50,2026-04-19 16:51:49,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:50,2026-04-19 16:51:49,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:53,2026-04-19 16:51:49,192.168.100.119,239.255.255.250,1900,17,NORMAL
16:55:56,2026-04-19 16:51:54,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:56,2026-04-19 16:51:54,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:56,2026-04-19 16:51:54,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:56,2026-04-19 16:51:55,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:56,2026-04-19 16:51:55,192.168.100.119,192.168.100.1,53,17,NORMAL
16:55:56,2026-04-19 16:51:55,192.168.100.119,192.168.100.1,53,17,NORMAL
16:56:05,2026-04-19 16:51:23,192.168.100.131,224.0.0.251,5353,17,NORMAL
16:56:11,2026-04-19 16:52:06,192.168.100.119,20.189.173.14,443,6,NORMAL
16:56:11,2026-04-19 16:52:07,192.168.100.119,20.189.173.14,443,6,NORMAL
16:56:14,2026-04-19 16:51:43,140.82.113.21,192.168.100.119,52017,6,NORMAL
16:56:14,2026-04-19 16:54:23,192.168.100.119,51.11.192.51,443,6,NORMAL
16:56:14,2026-04-19 16:54:23,192.168.100.119,52.182.143.209,443,6,NORMAL
16:56:20,2026-04-19 16:52:04,192.168.100.119,192.168.1.134,7680,6,NORMAL
16:56:26,2026-04-19 16:52:23,192.168.100.119,192.168.100.1,53,17,NORMAL
16:56:26,2026-04-19 16:52:23,192.168.100.119,192.168.100.1,53,17,NORMAL
16:56:26,2026-04-19 16:52:23,192.168.100.119,192.168.100.1,53,17,NORMAL
16:56:26,2026-04-19 16:52:23,143.204.11.124,192.168.100.119,51891,6,NORMAL
16:56:38,2026-04-19 16:51:36,54.83.13.230,192.168.100.119,52056,6,NORMAL
16:56:38,2026-04-19 16:52:21,192.168.100.119,3.216.247.181,443,6,NORMAL
16:56:47,2026-04-19 16:51:44,192.168.100.119,32.192.166.14,443,6,NORMAL
16:56:50,2026-04-19 16:55:18,192.168.100.119,34.120.52.64,443,6,NORMAL
16:56:53,2026-04-19 16:51:51,192.168.100.119,54.162.246.245,443,6,NORMAL
16:56:56,2026-04-19 16:55:24,34.120.52.64,192.168.100.119,53331,6,NORMAL
16:56:56,2026-04-19 16:55:12,192.168.100.119,13.216.96.160,443,6,NORMAL
16:56:59,2026-04-19 16:55:12,192.168.100.119,146.75.121.91,443,6,NORMAL
16:57:02,2026-04-19 16:52:44,192.168.100.119,192.168.1.134,7680,6,NORMAL
16:57:11,2026-04-19 16:55:38,192.168.100.119,143.204.11.126,443,6,NORMAL
16:57:11,2026-04-19 16:55:10,192.168.100.119,13.216.96.160,443,6,NORMAL
16:57:11,2026-04-19 16:55:38,18.97.36.64,192.168.100.119,53324,6,NORMAL
